company,source,ticker,created_datetime,sentiment_label,bert_text,lda_text
chipotle,stocktwits,CMG,2026-05-28T19:25:21Z,,"$CMG Been stuck between $33.62 and $31.63 for 4 weeks now, assuming it doesn&#39;t breakout one way or another tomorrow. It&#39;s barely moving at all.",stuck between weeks now assuming doesn breakout way another tomorrow barely moving all
chipotle,stocktwits,CMG,2026-05-28T19:04:11Z,Bullish,$CMG Look BELOW Folks! Dont miss out and have to chase later. Great Entry now! Come back and thank me later! 👌🏾 Reversals Incoming!!! $SCHW Analyst Bullish - Hit all time low $BSX Great Entry- At all time low $MCD Analysts Signal Outperform $WMT BUY Signals! These will be the next runners!💥🔥📈Tag this post 👍🏾,look below folks dont miss out chase later great entry now come back thank later reversals incoming analyst bullish hit all time low great entry all time low analysts signal outperform buy signals these next runners tag post
chipotle,stocktwits,CMG,2026-05-28T18:58:48Z,Bullish,$CMG needs to focus on returning Stock up to $50.,needs focus returning
chipotle,stocktwits,CMG,2026-05-28T18:26:37Z,,$CMG bottomless fall eveyday.,bottomless fall eveyday
chipotle,stocktwits,CMG,2026-05-28T17:54:05Z,,$CMG i want to hate on this so much but then i look at all the other stocks in the same industry in the shitter as well. im in as long as 32 continues to hold idk,want hate look all other same industry shitter well long continues hold idk
chipotle,stocktwits,CMG,2026-05-28T17:04:30Z,,$CMG Wow. What a shty company and management.,wow shty management
chipotle,stocktwits,CMG,2026-05-28T13:46:09Z,,$CMG daily dump and wash. they must hate this one so much and keep beating the dead horse again and again,daily dump wash must hate keep beating dead horse again again
chipotle,stocktwits,CMG,2026-05-27T22:08:53Z,Bullish,$CMG need dog meat burritos to boost sales,need dog meat burritos boost sales
chipotle,stocktwits,CMG,2026-05-27T20:42:28Z,,$CMG motherfuckers just dont want this over 33.,motherfuckers dont want over
chipotle,stocktwits,CMG,2026-05-27T19:21:03Z,,$CMG i’m just curious what do you think why take such a large position prior to earnings on July 29? ￼,curious why take such large position prior earnings july
chipotle,stocktwits,CMG,2026-05-27T17:50:43Z,,$CMG beyond garbage. /sigh,beyond garbage sigh
chipotle,stocktwits,CMG,2026-05-27T17:46:22Z,Bearish,$CMG food stock is done! No longer sustainable for the price that is demanded.,food done longer sustainable price demanded
chipotle,stocktwits,CMG,2026-05-27T17:03:18Z,Bullish,My current longs are $GRPN $SOFI $RIVN and $CMG LET GET IT!! 🔥🔥,current longs let
chipotle,stocktwits,CMG,2026-05-27T16:28:10Z,Bullish,$CMG I bought some 7/17 $40C here.,bought some here
chipotle,stocktwits,CMG,2026-05-27T14:19:11Z,,$CAVA $SBUX $CMG Cava chart is looking string. Breakout imminent,cava chart looking string breakout imminent
chipotle,stocktwits,CMG,2026-05-27T12:49:49Z,,"$CMG massive put as Chipotle hits multi-year lows — CMG at ~$32 today, down 45% from its $58 52-week high. +22,100 CMG 100 17 JUL 2026 27.50 PUT @ 0.33, for $729,300 total deltas. $729,300 × $32 = $23,337,600 in dollar exposure. 22,100 contracts — the largest print today by contract count by a significant margin. The 27.50 strike is 14% below current price. CMG is near the bottom of its 52-week range after comparable store sales were flat in Q1, margins compressed, and high gas prices weighed on restaurant traffic. Chipotle&#39;s stock price hit bottom in early 2026, confirmed it in Q2 following the Q1 earnings release. This 22K put print suggests someone isn&#39;t convinced the bottom is in. Free Week Trial! Get in now for SMS alerts, market data, and full chat access before the next move hits →",massive put hits multi year lows today down week high jul put total deltas dollar exposure contracts largest print today contract count significant margin strike below current price near bottom week range after comparable store sales flat margins compressed high gas prices weighed restaurant traffic price hit bottom early confirmed following earnings release put print suggests someone isn convinced bottom free week trial now sms alerts data full chat access before next move hits
chipotle,stocktwits,CMG,2026-05-27T09:53:32Z,Bullish,$NDLS probably something cooking $MCD $CMG $CAKE $BYND,probably something cooking
chipotle,stocktwits,CMG,2026-05-26T21:00:10Z,,$CMG Price is leaking even more during after hours,price leaking during after hours
chipotle,stocktwits,CMG,2026-05-26T18:46:08Z,Bearish,"$CMG overpriced food, overpriced stock",overpriced food overpriced
chipotle,stocktwits,CMG,2026-05-26T17:34:54Z,,"$CMG will either hold support here at $32 or worst case see ~$31 50DMA remains resistance, but can easily catch a quick pop!",either hold support here worst case see dma remains resistance easily catch quick pop
chipotle,stocktwits,CMG,2026-05-26T16:57:39Z,Bullish,$CMG Ill take a bite here.,ill take bite here
